============================================ prepare_Object
79226537
object read {'loc': [-130.9966950437948, -88.2060540499612], 'ra': 49.0033049562052, 'decl': -88.2060540499612}
object read {'loc': [-140.0064541841615, -88.2385717974241], 'ra': 39.9935458158385, 'decl': -88.2385717974241}
object read {'loc': [92.283792153734, -88.0383485737406], 'ra': 272.283792153734, 'decl': -88.0383485737406}
object read {'loc': [-111.6174103290903, -89.5649357511785], 'ra': 68.3825896709097, 'decl': -89.5649357511785}
object read {'loc': [113.55454566220999, -88.2624005092041], 'ra': 293.55454566221, 'decl': -88.2624005092041}
object read {'loc': [90.19133445041899, -89.1024604527704], 'ra': 270.191334450419, 'decl': -89.1024604527704}
object read {'loc': [40.54757705455299, -88.286221481659], 'ra': 220.547577054553, 'decl': -88.286221481659}
object read {'loc': [164.31200732692298, -88.526732141986], 'ra': 344.312007326923, 'decl': -88.526732141986}
object read {'loc': [-83.0991077785322, -88.3124740637162], 'ra': 96.9008922214678, 'decl': -88.3124740637162}
object read {'loc': [27.409225420545, -88.0696528176275], 'ra': 207.409225420545, 'decl': -88.0696528176275}
object read {'loc': [-31.211376976341995, -88.319041096069], 'ra': 148.788623023658, 'decl': -88.319041096069}
object read {'loc': [52.974482236364, -88.0044997838643], 'ra': 232.974482236364, 'decl': -88.0044997838643}
object read {'loc': [-171.38529487847748, -89.1188978093015], 'ra': 8.61470512152253, 'decl': -89.1188978093015}
object read {'loc': [-149.3040053922031, -87.9482951359953], 'ra': 30.6959946077969, 'decl': -87.9482951359953}
object read {'loc': [-11.697845939457011, -88.8909247817628], 'ra': 168.302154060543, 'decl': -88.8909247817628}
object read {'loc': [-102.2756763148472, -88.8440884773852], 'ra': 77.7243236851528, 'decl': -88.8440884773852}
object read {'loc': [-113.0445573018171, -88.2701481745561], 'ra': 66.9554426981829, 'decl': -88.2701481745561}
object read {'loc': [127.59528435023299, -88.6310139765239], 'ra': 307.595284350233, 'decl': -88.6310139765239}
object read {'loc': [54.31367998936099, -88.8887098778916], 'ra': 234.313679989361, 'decl': -88.8887098778916}
object read {'loc': [112.821821995422, -88.0109138293409], 'ra': 292.821821995422, 'decl': -88.0109138293409}
object read {'loc': [-54.67481762074, -88.163366966705], 'ra': 125.32518237926, 'decl': -88.163366966705}
object read {'loc': [44.57464622575699, -88.1055029054651], 'ra': 224.574646225757, 'decl': -88.1055029054651}
object read {'loc': [-28.670475805683992, -89.9099266770468], 'ra': 151.329524194316, 'decl': -89.9099266770468}
object read {'loc': [125.74269964348599, -89.0989133342602], 'ra': 305.742699643486, 'decl': -89.0989133342602}
object read {'loc': [-40.04816182111199, -88.0500438837188], 'ra': 139.951838178888, 'decl': -88.0500438837188}
object read {'loc': [-161.5865227171439, -88.8310313998638], 'ra': 18.4134772828561, 'decl': -88.8310313998638}
object read {'loc': [0.9098394135679939, -89.0346547030121], 'ra': 180.909839413568, 'decl': -89.0346547030121}
object read {'loc': [-42.22463343745801, -88.3131187346456], 'ra': 137.775366562542, 'decl': -88.3131187346456}
object read {'loc': [-177.74148948915683, -89.738310171244], 'ra': 2.25851051084318, 'decl': -89.738310171244}
object read {'loc': [-149.214375692082, -88.4508139154181], 'ra': 30.785624307918, 'decl': -88.4508139154181}
object read {'loc': [-90.4456258649165, -87.9525083184891], 'ra': 89.5543741350835, 'decl': -87.9525083184891}
object read {'loc': [-161.9523372046995, -88.2154192663923], 'ra': 18.0476627953005, 'decl': -88.2154192663923}
object read {'loc': [100.44533438311998, -88.505348347794], 'ra': 280.44533438312, 'decl': -88.505348347794}
object read {'loc': [101.34808095009402, -88.1451718836753], 'ra': 281.348080950094, 'decl': -88.1451718836753}
object read {'loc': [53.31394880767999, -89.3755894792426], 'ra': 233.31394880768, 'decl': -89.3755894792426}
object read {'loc': [84.82227501449103, -88.826305034337], 'ra': 264.822275014491, 'decl': -88.826305034337}
object read {'loc': [162.89362287401298, -89.6489949487868], 'ra': 342.893622874013, 'decl': -89.6489949487868}
object read {'loc': [23.792577728820987, -88.1519953021375], 'ra': 203.792577728821, 'decl': -88.1519953021375}
object read {'loc': [-0.4876845965870018, -89.2615506454375], 'ra': 179.512315403413, 'decl': -89.2615506454375}
object read {'loc': [-130.2897175736318, -88.0591387203633], 'ra': 49.7102824263682, 'decl': -88.0591387203633}
object read {'loc': [-49.88895178437099, -88.4190190455167], 'ra': 130.111048215629, 'decl': -88.4190190455167}
object read {'loc': [-122.638984664726, -88.1599740955176], 'ra': 57.361015335274, 'decl': -88.1599740955176}
object read {'loc': [-119.06371240722581, -88.0561996613285], 'ra': 60.9362875927742, 'decl': -88.0561996613285}
object read {'loc': [-112.6132679875396, -88.768489447484], 'ra': 67.3867320124604, 'decl': -88.768489447484}
object read {'loc': [104.74768201768501, -88.9690882844192], 'ra': 284.747682017685, 'decl': -88.9690882844192}
object read {'loc': [72.85838413277901, -88.7446681096472], 'ra': 252.858384132779, 'decl': -88.7446681096472}
object read {'loc': [178.95799923784898, -87.9161400306237], 'ra': 358.957999237849, 'decl': -87.9161400306237}
object read {'loc': [171.984910240663, -88.0281937866154], 'ra': 351.984910240663, 'decl': -88.0281937866154}
object read {'loc': [173.002100099806, -89.0453413160526], 'ra': 353.002100099806, 'decl': -89.0453413160526}
object read {'loc': [-28.59095328076299, -89.1041567839164], 'ra': 151.409046719237, 'decl': -89.1041567839164}
object read {'loc': [81.46463919073602, -87.8903090764547], 'ra': 261.464639190736, 'decl': -87.8903090764547}
object read {'loc': [-170.08756679619324, -88.3127702917], 'ra': 9.91243320380677, 'decl': -88.3127702917}
object read {'loc': [179.556822225166, -88.2530098305181], 'ra': 359.556822225166, 'decl': -88.2530098305181}
object read {'loc': [-122.9810148237118, -88.6328602421355], 'ra': 57.0189851762882, 'decl': -88.6328602421355}
object read {'loc': [130.443911049088, -88.6757750750422], 'ra': 310.443911049088, 'decl': -88.6757750750422}
object read {'loc': [38.60169933011201, -88.0842757731091], 'ra': 218.601699330112, 'decl': -88.0842757731091}
object read {'loc': [178.92599592231397, -88.8407991240962], 'ra': 358.925995922314, 'decl': -88.8407991240962}
object read {'loc': [119.89836751171202, -88.1107857184538], 'ra': 299.898367511712, 'decl': -88.1107857184538}
object read {'loc': [-63.529108770039, -88.4742181293004], 'ra': 116.470891229961, 'decl': -88.4742181293004}
object read {'loc': [-55.322020363381995, -88.2750916523041], 'ra': 124.677979636618, 'decl': -88.2750916523041}
object read {'loc': [80.10207514047602, -89.1808170595242], 'ra': 260.102075140476, 'decl': -89.1808170595242}
object read {'loc': [-75.792824302543, -88.0516702798565], 'ra': 104.207175697457, 'decl': -88.0516702798565}
object read {'loc': [74.65905804494199, -88.1051002777342], 'ra': 254.659058044942, 'decl': -88.1051002777342}
object read {'loc': [-8.93511822761701, -88.9645152269588], 'ra': 171.064881772383, 'decl': -88.9645152269588}
object read {'loc': [-82.299652190444, -88.1608148751389], 'ra': 97.700347809556, 'decl': -88.1608148751389}
object read {'loc': [-98.4592636028268, -89.2009463795904], 'ra': 81.5407363971732, 'decl': -89.2009463795904}
object read {'loc': [26.385853797619006, -88.6361806714544], 'ra': 206.385853797619, 'decl': -88.6361806714544}
object read {'loc': [-101.093454971983, -88.1630347856414], 'ra': 78.906545028017, 'decl': -88.1630347856414}
object read {'loc': [68.24060901656401, -88.492575188603], 'ra': 248.240609016564, 'decl': -88.492575188603}
object read {'loc': [157.95944184318301, -87.9500230292529], 'ra': 337.959441843183, 'decl': -87.9500230292529}
object read {'loc': [54.751215567082994, -89.0406048475247], 'ra': 234.751215567083, 'decl': -89.0406048475247}
object read {'loc': [15.574662090919986, -88.2230907013909], 'ra': 195.57466209092, 'decl': -88.2230907013909}
